,ValueType,value,Iteration,Variable,Model,Dataset,DataType
6,accuracy,9.196581558128404,6,10%,LabelPropagation_knn,digits,image
7,accuracy,7.3509700801011375,7,10%,LabelPropagation_knn,digits,image
8,accuracy,8.361242126331558,8,10%,LabelPropagation_knn,digits,image
9,accuracy,6.401970627891522,9,10%,LabelPropagation_knn,digits,image
20,accuracy,2.1373748800219388,0,50%,LabelPropagation_knn,digits,image
21,accuracy,4.206033470346449,1,50%,LabelPropagation_knn,digits,image
22,accuracy,3.417764268828099,2,50%,LabelPropagation_knn,digits,image
23,accuracy,3.0604045441950687,3,50%,LabelPropagation_knn,digits,image
24,accuracy,3.011148904006047,4,50%,LabelPropagation_knn,digits,image
25,accuracy,2.2907986111111107,5,50%,LabelPropagation_knn,digits,image
26,accuracy,2.2222222222222223,6,50%,LabelPropagation_knn,digits,image
27,accuracy,4.642616642616641,7,50%,LabelPropagation_knn,digits,image
28,accuracy,1.6467236467236468,8,50%,LabelPropagation_knn,digits,image
29,accuracy,1.4761904761904758,9,50%,LabelPropagation_knn,digits,image
0,accuracy,6.5685009122560185,0,10%,LabelPropagation_rbf,digits,image
1,accuracy,8.528364347743022,1,10%,LabelPropagation_rbf,digits,image
2,accuracy,18.86055736485768,2,10%,LabelPropagation_rbf,digits,image
3,accuracy,10.94536544992706,3,10%,LabelPropagation_rbf,digits,image
4,accuracy,8.596594751704421,4,10%,LabelPropagation_rbf,digits,image
5,accuracy,10.010642776206307,5,10%,LabelPropagation_rbf,digits,image
6,accuracy,9.196581558128404,6,10%,LabelPropagation_rbf,digits,image
7,accuracy,7.3509700801011375,7,10%,LabelPropagation_rbf,digits,image
8,accuracy,8.361242126331558,8,10%,LabelPropagation_rbf,digits,image
9,accuracy,6.401970627891522,9,10%,LabelPropagation_rbf,digits,image
20,accuracy,2.1373748800219388,0,50%,LabelPropagation_rbf,digits,image
21,accuracy,4.206033470346449,1,50%,LabelPropagation_rbf,digits,image
22,accuracy,3.417764268828099,2,50%,LabelPropagation_rbf,digits,image
23,accuracy,3.0604045441950687,3,50%,LabelPropagation_rbf,digits,image
24,accuracy,3.011148904006047,4,50%,LabelPropagation_rbf,digits,image
25,accuracy,2.2907986111111107,5,50%,LabelPropagation_rbf,digits,image
26,accuracy,2.2222222222222223,6,50%,LabelPropagation_rbf,digits,image
27,accuracy,4.642616642616641,7,50%,LabelPropagation_rbf,digits,image
28,accuracy,1.6467236467236468,8,50%,LabelPropagation_rbf,digits,image
29,accuracy,1.4761904761904758,9,50%,LabelPropagation_rbf,digits,image
0,accuracy,99.49931818014721,0,10%,LabelSpreading_knn,digits,image
1,accuracy,99.83305557056643,1,10%,LabelSpreading_knn,digits,image
2,accuracy,99.44486343688065,2,10%,LabelSpreading_knn,digits,image
3,accuracy,99.88870340874287,3,10%,LabelSpreading_knn,digits,image
4,accuracy,99.72159883124705,4,10%,LabelSpreading_knn,digits,image
5,accuracy,99.66609297620022,5,10%,LabelSpreading_knn,digits,image
6,accuracy,99.44382649297232,6,10%,LabelSpreading_knn,digits,image
