,ValueType,value,Iteration,Variable,Model,Dataset,DataType
33,time,0.0319523811340332,3,50%,LabelPropagation_rbf,iris,numeric
34,time,0.03118443489074707,4,50%,LabelPropagation_rbf,iris,numeric
35,time,0.030840635299682617,5,50%,LabelPropagation_rbf,iris,numeric
36,time,0.033105134963989265,6,50%,LabelPropagation_rbf,iris,numeric
37,time,0.03017759323120117,7,50%,LabelPropagation_rbf,iris,numeric
38,time,0.035323381423950195,8,50%,LabelPropagation_rbf,iris,numeric
39,time,0.03439927101135254,9,50%,LabelPropagation_rbf,iris,numeric
0,accuracy,0.16666666666666666,0,10%,LabelSpreading_knn,iris,numeric
1,accuracy,0.16666666666666666,1,10%,LabelSpreading_knn,iris,numeric
2,accuracy,0.16666666666666666,2,10%,LabelSpreading_knn,iris,numeric
3,accuracy,0.16666666666666666,3,10%,LabelSpreading_knn,iris,numeric
4,accuracy,0.16666666666666666,4,10%,LabelSpreading_knn,iris,numeric
5,accuracy,0.16666666666666666,5,10%,LabelSpreading_knn,iris,numeric
6,accuracy,0.16666666666666666,6,10%,LabelSpreading_knn,iris,numeric
7,accuracy,0.16666666666666666,7,10%,LabelSpreading_knn,iris,numeric
8,accuracy,0.16666666666666666,8,10%,LabelSpreading_knn,iris,numeric
9,accuracy,0.16666666666666666,9,10%,LabelSpreading_knn,iris,numeric
10,time,0.010356664657592772,0,10%,LabelSpreading_knn,iris,numeric
11,time,0.002996206283569336,1,10%,LabelSpreading_knn,iris,numeric
12,time,0.002851247787475586,2,10%,LabelSpreading_knn,iris,numeric
13,time,0.002819538116455078,3,10%,LabelSpreading_knn,iris,numeric
14,time,0.0029540061950683594,4,10%,LabelSpreading_knn,iris,numeric
15,time,0.0027289390563964844,5,10%,LabelSpreading_knn,iris,numeric
16,time,0.0028781890869140625,6,10%,LabelSpreading_knn,iris,numeric
17,time,0.002979755401611328,7,10%,LabelSpreading_knn,iris,numeric
18,time,0.002890110015869141,8,10%,LabelSpreading_knn,iris,numeric
19,time,0.002762317657470703,9,10%,LabelSpreading_knn,iris,numeric
20,accuracy,0.16666666666666666,0,50%,LabelSpreading_knn,iris,numeric
21,accuracy,0.16666666666666666,1,50%,LabelSpreading_knn,iris,numeric
22,accuracy,0.16666666666666666,2,50%,LabelSpreading_knn,iris,numeric
23,accuracy,0.16666666666666666,3,50%,LabelSpreading_knn,iris,numeric
24,accuracy,0.16666666666666666,4,50%,LabelSpreading_knn,iris,numeric
25,accuracy,0.16666666666666666,5,50%,LabelSpreading_knn,iris,numeric
